Country,Date-of-Decision,Fine-Amount,Quoted-Art
FRANCE,2021-12-31,"60,000,000","Art. 82 loi Informatique et Libertés, On December 31, 2021, the French DPA (CNIL) imposed a fine of EUR 60,000,000 on Facebook Ireland Ltd.

The CNIL received several complaints regarding the manner in which cookies could be refused on the website of Facebook.com.

The CNIL subsequently conducted an online review of the websites and found that, although the websites offered a button to accept cookies immediately, there was no equivalent solution that would allow the Internet user to reject the deposit of cookies just as easily. Rather, several clicks were required to reject all cookies, in contrast to a single click to accept them.

From this, the CNIL concluded that users would accept the deposit of cookies out of convenience with more frequency. It considered that the design of the cookie deposit interferes with the freedom of consent of Internet users and constitutes a violation of Art. 82 of the French Law on Informatics and Freedoms.

In determining the fine, the fact that a large number of people were affected was taken into account in an aggravating manner. In addition, the CNIL took into account the significant profits that the companies were able to make from the advertising revenue generated indirectly from the data collected through cookies.

The CNIL also pointed to the fact that the authority had already alerted the the company to this breach in February 2021. 

In addition to the fine, the CNIL issued an order requiring the companies to provide Internet users in France with a way to reject cookies as easily as they can accept them, within three months of being notified of the decision. Otherwise, companies would face the payment of a penalty of EUR 100,000 per day of delay."
GREECE,2022-01-05,"1,000","Art. 12 (3) GDPR, The Hellenic DPA has imposed a fine of EUR 1,000 on ??????? ???? ?.?. The company operated a video surveillance system to monitor the payment of tolls. A car owner, who had received a fine for non-payment of the toll, exercised his right to information granted by the GDPR. He requested the photographic material which had been captured in the context of the fine. He also requested to receive a copy of the documentation of the incident. However, the company refused to provide the information to the data subject. Only after the DPA intervened did the company provide the information, but without enclosing the photographic material. For this reason, the DPA found a violation of Art. 12 (3) GDPR."
SPAIN,2022-01-11,"3,000",Art. 5 (1) c) GDPR
SPAIN,2022-01-11,"9,000","Art. 6 (1) GDPR, Art. 17 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 9,000 on EDUCANDO JUNTOS SL. The controller had published photos of an employee on some of its channels on social networks and its website. However, the controller had published the photos without having obtained the consent of the data subject. For this reason, the data subject repeatedly requested the removal of the photos from the social networks and the website. However, the controller did not comply with this request. The fine is made up of EUR 6,000 for a violation of Art. 6 (1) GDPR and EUR 3,000 for a violation of Art. 17 GDPR."
POLAND,2021-12-09,"10,000","Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR, The Polish DPA (UODO) has fined Warsaw University of Technology EUR 10,000. The university had reported a data breach to the authority pursuant to Art. 33 GDPR. One of the university's organizational units used an application created by university staff to register for courses and access teaching history, assessment of exam results and billing of fees. In early January 2020, an unauthorized person had downloaded a database from the application that contained personal data of students and faculty (over 5,000 individuals). In its investigation, the DPA found that the Unvierstät had failed to implement appropriate technical and organizational measures that ensured the security of personal data . The DPA also found that the university had not conducted a formal risk assessment."
GREECE,2021-12-31,"25,000","Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006"
GREECE,2021-12-31,"30,000","Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006"
IRELAND,2021-12-02,"60,000","Art. 5 (1) GDPR, Art. 32 (1) GDPR, Art. 33 GDPR, The Irish DPA has imposed a fine of EUR 60,000 on the Irish Teaching Council. The Council notified the DPA of a data breach under Art. 33 of the GDPR. 

Accordingly, two employees of the Council accessed a phishing email that allowed them to set up an automatic forwarding system from their email accounts to a malicious email account. As a result, 323 emails were forwarded to the unauthorized external email address between February 17, 2020 and March 6, 2020. The emails contained the personal data of 9,735 data subjects and the sensitive personal data of one data subject.

The DPA therefore found that the Council had failed to implement appropriate technical and organizational measures to ensure a level of protection for data subjects' personal data commensurate with the risk. 

In addition, the DPA found that the Council failed to report the data breach in a timely manner."
AUSTRIA,2022-01-14,"8,000,000","The Austrian DPA has imposed a fine of EUR 8 million on REWE International AG. Just in the summer of 2021, the subsidiary 'Unser Ö-Bonus Club GmbH' received a fine of EUR 2 million. According to the 'Salzburger Nachrichten' newspaper, the fine is based on various violations of the GDPR. Further details about the incident are not known at the moment."
SPAIN,2022-01-13,"1,500","Art. 5 (1) c) GDPR, Art. 13 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 1,500 on a private individual. The controller had installed video surveillance cameras which, among other things, also covered the public space. The DPA considered this to be a violation of the principle of data minimization. In addition, the controller had not properly informed the data subjects about the processing of the data by the video surveillance and thus violated its duty to inform. The fine is made up of EUR 1,000 for a violation of Art. 5 (1) c) GDPR and EUR 500 for a violation of Art. 13 GDPR."
GREECE,2021-12-29,"75,000","Art. 13 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 37 GDPR, The Hellenic DPA has imposed a fine of EUR 75,000 on the Greek Ministry of Tourism. A data breach had occurred at the authority. According to the DPA, an attempt by a citizen to enter his or her credentials on the authority's online platform resulted in the display of someone else's credentials, including full name, tax number, social security number, postal address, phone number, email address, and fields indicating a disability. The DPA found that the ministry failed to implement adequate technical and organizational measures to secure personal data. 
The ministry failed to report the incident to the DPA. The DPA considered this to be a violation of Article 33 of the GDPR. 
The DPA's investigation also found that the Ministry of Tourism had not appointed a data protection officer, even though an email address of the authority's data protection officer was provided on the above-mentioned platform for communication with users of the platform. This email address, as it turned out, was not active."
ITALY,2021-12-02,"7,000","Art. 5 (1) f) GDPR, Art. 32 GDPR, The Italian DPA (Garante) has fined Società Med Store Saronno s.r.l. EUR 7,000. The nursing home notified the DPA of a data breach pursuant to Art. 33 GDPR. The facility had suffered a cyber attack by a hacker who gained access to personal data and published it. This included publishing radiological images of patients on his Twitter account. The DPA's investigation revealed that the home had only secured the data with simple passwords. For this reason, the DPA found that the home had failed to implement appropriate technical and organizational measures to ensure a level of protection commensurate with the risk."
ITALY,2021-12-02,"30,000","Art. 5 (1) f) GDPR, Art. 32 GDPR, The Italian DPA (Garante) has fined Casa di cura Fondazione Gaetano e Piera Borghi s.r.l. EUR 30,000. The nursing home notified the DPA of a data breach pursuant to Art. 33 GDPR. The facility had suffered a cyber attack by a hacker who gained access to personal data and published it. This included publishing radiological images of patients on his Twitter account. The DPA's investigation revealed that the home had only secured the data with simple passwords. For this reason, the DPA found that the home had failed to implement appropriate technical and organizational measures to ensure a level of protection commensurate with the risk."
ITALY,2021-11-25,"6,000","Art. 5 (1) f) GDPR, Art. 9 GDPR"
BELGIUM,2021-12-16,"75,000","Art. 38 (6) GDPR, The Belgian DPA has imposed a fine of EUR 75,000 on a bank. The DPA identified a conflict of interest regarding the data protection officer. In addition to his work as data protection officer, he was also head of a department to which he had to report in his capacity as data protection officer. The DPA considered this to be a violation of Art. 38 (6) GDPR."
PORTUGAL,2021-12-21,"1,250,000","Art. 5 (1) a), c), e) GDPR, Art. 6 GDPR, Art. 9 (1) a) GDPR, Art. 13 (1), (2) GDPR, Art. 35 (3) GDPR"
MALTA,2022-01-17,"65,000","Art. 5 (1) f) GDPR, Art. 6 (1) GDPR, Art. 9 (1), (2) GDPR, Art. 14 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 34 GDPR, The DPA of Malta has imposed a fine of EUR 65,000 on C-Planet (IT Solutions) Limited. The DPA had initiated an investigation against C-Planet in April 2020 after being informed of a data breach. 
The DPA noted as a result that C-Planet had violated Art. 6 (1) GDPR, Art. 9 (1), (2) GDPR, Art. 14 GDPR and Art. 5 (1) f) GDPR in the context of data processing. 

The DPA also found that C-Planet failed to implement appropriate technical and organizational measures to ensure a level of security commensurate with the risk and that this led to the data breach. This constitutes a violation of Art. 32 GDPR. 
In addition, the DPA found that the controller failed to notify the personal data breach within the legally required deadline and to inform the data subjects. This constitutes a violation of Art. 33 GDPR and Art. 34 GDPR."
SPAIN,2022-01-18,"56,000",Art. 6 (1) GDPR
SPAIN,2022-01-14,"1,500",Art. 5 (1) c) GDPR
SPAIN,2022-01-17,"2,000",Art. 6 (1) GDPR
SPAIN,2022-01-17,"1,500",Art. 5 (1) c) GDPR
LUXEMBOURG,2021-12-01,"6,800","Art. 5 (1) c) GDPR, Art. 13 GDPR, The DPA from Luxembourg (CNPD) has imposed a fine of EUR 6,800 on a company. The company had installed a video surveillance system to protect the company's assets, prevent intrusion by unauthorized persons and prevent accidents. However, the cameras also captured parts of an employee's work area, the smoking area that employees frequently used and parts of the public space. The DPA states that the controller thus violated the principle of data minimization under Art. 5 (1) c) of the GDPR. Furthermore, the DPA found a violation of the information obligations set out in Art. 13 GDPR, by not properly informing its employees and third parties about the video surveillance."
SPAIN,2022-01-18,"15,000",Art. 6 GDPR
LUXEMBOURG,2021-11-09,"1,500","Art. 5 (1) c) GDPR, Art. 13 GDPR, The DPA from Luxembourg (CNPD) has imposed a fine of EUR 1,500 on a company. The company had installed a video surveillance system to ensure that their customers would not have to wait when their front desk staff was not present.
However, the cameras also constantly captured parts of two employee's work areas. The DPA states that the controller thus violated the principle of data minimization under Art. 5 (1) c) of the GDPR. Furthermore, the DPA found a violation of the information obligations set out in Art. 13 GDPR, by not properly informing its employees and third parties about the video surveillance."
SPAIN,2022-01-14,"2,400","Art. 5 (1) f) GDPR, Art. 32 GDPR"
ITALY,2021-12-16,,"Art. 5 (1) a), d) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 21 GDPR, Art. 24 GDPR, Art. 25 (1) GDPR, Art. 30 GDPR, Art. 31 GDPR, Art. 130 (1), (2), (4) Codice della privacy, Originial fine summary: The Italian DPA has fined Enel Energia S.p.A EUR 26.5 million for numerous breaches of the GDPR. Following a complex preliminary investigation launched after hundreds of reports and complaints from users, the DPA finds that the controller illegally processed the personal data of millions of users for telemarketing purposes. The DPA found, among other things, that data subjects received unsolicited promotional calls in the name of and on behalf of Enel Energia, in some cases even recorded calls. Some of the data subjects still received advertising calls, even though they had already requested Enel Energia to delete their personal data several times or had objected to their processing for advertising purposes. In particular, the DPA found that Enel Energia had not provided data subjects with the required and timely feedback on their requests to exercise their rights of access and opposition. In addition, the DPA found that the company had not sufficiently cooperated with the DPA during the investigation. For example, Enel Energia failed to respond to various inquiries from the DPA. In assessing the fine, the DPA considered the following factors aggravating: the seriousness of the violations, the duration and repetition of the violations, as well as the large number of persons affected and the negligence of the conduct. Update: The Court of Rome overturned the fine of EUR 26.5 million."
ROMANIA,2022-01-20,"3,000",Art. 15 (3) GDPR
SPAIN,2022-01-21,"2,000","Art. 13 GDPR, The Spanish DPA (AEPD) imposed a fine of EUR 2,000 on a website operator for the lack of a privacy policy on its website, in violation of Art. 13 GDPR."
SPAIN,2022-01-21,"1,200",Art. 5 (1) c) GDPR
IRELAND,2021-12-09,"110,000","Art. 13 GDPR, Art. 12 GPDR, Art. 15 GDPR, The Irish DPA has fined Limerick City and County Council EUR 110,000. As part of an investigation, the DPA conducted an audit of the processing of personal data by the council or on its behalf using video surveillance systems, automatic license plate recognition, body-worn cameras and other technologies that can be used to monitor individuals. In doing so, it found that the Council had violated a number of data protection laws in its use of the technologies. However, the fine was issued due to GDPR violations. 

The DPA found that the Council violated Art. 13 GDPR in relation to the processing of data by traffic cameras. The Council had failed to provide information on the identity of the data controller, the contact details of the data protection officer, the purposes of the processing and the bodies from which further information required under Art. 13 GDPR may be obtained.  In addition, the Council failed to provide this information in an easily accessible manner such as on signs near the cameras.

Further, the DPA concluded that the Council failed to post a video surveillance policy in an clear and plain language as well as in an easily accessible area of the Council's website. The DPA thus found an infringement of Art. 12 GDPR. 

Lastly, the Council has denied requests for access to personal data processed by surveillance cameras used in traffic management. For this reason, the DPA found that the Council violated Art. 15 GDPR."
ITALY,2021-12-02,"5,000","Art. 5 (1) f) GDPR, Art. 9 GDPR"
FINLAND,2021-12-16,"6,500","Art. 5 (1) f) GDPR, Art. 17 GDPR, Art. 25 GDPR, Art. 32 GDPR"
FINLAND,2021-12-16,"52,000","Art. 5 (1) a), c) GDPR, Art. 25 (2) GDPR"
SWEDEN,2022-01-26,"28,500",Art. 32 (1) GDPR
SWEDEN,2022-01-26,"152,000","Art. 5 (1) f) GDPR, Art. 32 (1) GDPR"
ITALY,2021-12-16,"10,000","Art. 5 GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 37 GDPR, The Italian DPA (Garante) has fined Centro di Medicina preventiva s.r.l. EUR 10,000. The controller reported a database under Art. 33 GDPR in connection with a cyberattack by a hacker group. During the cyberattack, the hacker managed to gain access to a list of patient data. The hacker then published this list that contained personal data, including sensitive data, of patients and radio-diagnostic tests on Twitter. The DPA found that the controller had not implemented appropriate technical and organizational measures to ensure the security of the personal data. 
For example, the medical center's server disclosed the requested personal data during a query without verifying the identity and credentials of the requester, allowing unauthenticated connections to reach from outside the medical center."
ITALY,2021-12-16,"20,000","Art. 5 (1) a), c), e) GDPR, Art. 13 GDPR, Art. 157 Codice della privacy"
HUNGARY,2021-12-03,843,"Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR"
ROMANIA,2022-02-01,"1,000","Art. 6 GDPR, Art. 9 GDPR"
SPAIN,2022-01-31,"1,500",Art. 6 GDPR
SPAIN,2022-01-31,"5,000",Art. 6 (1) GDPR
SPAIN,2022-01-31,"5,000",Art. 5 (1) c) GDPR
BELGIUM,2022-01-27,"1,200","Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 32 GDPR, The Belgian DPA has fined a researcher EUR 1,200. The fine was issued in connection with another fine against the NGO EU DisinfoLab. The researcher was employed at the NGO. In 2018, the NGO published an analysis to identify the possible political origin of tweets circulating on a particularly heated controversy in France, the 'Benalla affair.'  For the analysis, the organization had processed the data of 55,000 Twitter accounts, of which more than 3,300 had been classified as political. The raw data obtained from this was then published without taking minimal security precautions, such as pseudonymizing the data. The DPA noted that publication of the data could potentially expose data subjects to the risk of discrimination or discredit because of the non-anonymized political profiling. In addition, the files also contained information about the religious beliefs, ethnic origin, or sexual orientation of the individuals whose accounts were analyzed. For this reason, the DPA concluded that several obligations of the GDPR, such as lawfulness of processing, transparency to data subjects, and data security, were violated."
BELGIUM,2022-01-27,"2,800","Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 30 GDPR, Art. 32 GDPR, Art. 35 GDPR, The Belgian DPA has fined the NGO EU DisinfoLab EUR 2,700. In 2018, the NGO published an analysis to identify the possible political origin of tweets circulating on a particularly heated controversy in France, the 'Benalla affair.'  For the analysis, the organization had processed the data of 55,000 Twitter accounts, of which more than 3,300 had been classified as political. The raw data obtained from this was then published without taking minimal security precautions, such as pseudonymizing the data. The DPA noted that publication of the data could potentially expose data subjects to the risk of discrimination or discredit because of the non-anonymized political profiling. In addition, the files also contained information about the religious beliefs, ethnic origin, or sexual orientation of the individuals whose accounts were analyzed. For this reason, the DPA concluded that several obligations of the GDPR, such as lawfulness of processing, transparency to data subjects, and data security, were violated."
GREECE,2022-01-27,"6,000,000","Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 25 (1) GDPR, Art. 26 GDPR, Art. 28 GDPR, Art. 35 (7) GDPR, The Hellenic DPA has imposed a fine of EUR 6 million on Cosmote Mobile Telecommunications S.A.. Cosmote had reported a data breach to the DPA pursuant to Art. 33 GDPR. A hacker had penetrated the controller's systems and obtained and subsequently leaked data from Cosmote customers. The stolen data included sensitive information, from Cosmote subscribers such as age, gender and contract information. Nearly 10 million people were affected by the incident. 

For this reason, the DPA found that Cosmote had failed to implement adequate technical and organizational measures to ensure the proper execution of the data anonymization process.  In addition, Cosmote did not conduct a sufficient data protection impact assessment and did not properly inform data subjects about the processing of their data. 

Finally, the DPA found that Cosmote did not clearly regulate the allocation of roles in data processing with its subsidiary, OTE Group. 

In calculating the fine, the DPA aggravatingly took into account the very long duration of the breaches (6 years), the large number of data subjects, as well as the fact that no pseudonymization measures of the data were implemented over a long period of time."
GREECE,2022-01-27,"3,200,000","Art. 32 GDPR, The Hellenic DPA has imposed a fine of EUR 3.2 million on Cosmote subsidiary OTE Group. Among other things, OTE Group had contributed to Cosmote's security infrastructure. Cosmote had reported a data breach to the DPA under Article 33 of the GDPR. A hacker had been able to penetrate Cosmote's systems due to a lack of security measures and obtained and subsequently leaked data from customers. The stolen data included sensitive information, from Cosmote subscribers such as age, gender and contract information. Nearly 10 million people were affected by the incident. 

For this reason, the DPA found that OTE Group had failed to implement adequate technical and organizational measures to ensure a level of security commensurate with the risk to data subjects."
ITALY,2021-11-25,"400,000","Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 GDPR"
ITALY,2021-11-25,"200,000","Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, Art. 12 GDPR, Art. 21 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,Art. 5 (1) c) GDPR
GERMANY,,2020,Art. 5 (1) a) GDPR
GERMANY,,"5,000",Art. 5 (1) c) GDPR
GERMANY,,2020,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 7 (1) GDPR"
GERMANY,,2020,Art. 6 (1) GDPR
GERMANY,,2020,"Art. 12 (3) GDPR, Art. 15 GDPR"
GERMANY,,2020,Art. 58 (1) GDPR
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,"Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2020,Art. 5 (1) c) GDPR
GERMANY,,2020,"Art. 6 GDPR, Art. 32 GDPR"
GERMANY,,2020,"Art. 26 (2) GDPR, The DPA from Hamburg as imposed a fine of EUR 13,000 on a company. An individual had booked and attended a course with a company, but had not paid the course fees incurred. Some time later, he registered for a course at another company of the same parent company and was rejected there. As a reason, he was told that he still had arrears with the company whose courses he had already attended. Following a complaint filed by the individual against the company, the DPA launched an investigation. It found that those companies shared a common database. It pointed out that the maintenance of a common customer database by several, legally independent companies, leads to joint responsibility according to Art. 26 GDPR. According to Art. 26 (2) GDPR, this requires an agreement that reflects the respective actual functions and relationships of the jointly responsible parties towards data subjects. However, such an agreement did not exist."
SPAIN,2022-02-02,"2,000","Art. 13 GDPR, The Spanish DPA has imposed a fine of EUR 2,000 on ASESORES DE SEGURIDAD PRIVADA, S.L.. The DPA criticized that the controller did not sufficiently inform the data subject about data processing, as required by Art. 13 GDPR."
GERMANY,,2020,Art. 32 GDPR
GERMANY,,2020,Art. 32 GDPR
GERMANY,,2020,Art. 32 GDPR
BELGIUM,2022-02-02,,"Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 9 (1), (2) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 24 (1) GDPR, Art. 30 GDPR, Art. 31 GDPR, Art. 32 (1), (2) GDPR, Art. 37 GDPR, The Belgian DPA has imposed a fine of EUR 250,000 on IAB Europe. The DPA had received several complaints against IAB Europe since 2019. In the context of this complaint, the compliance of the 'Transparency & Consent Framework (TCF)' with the GDPR was mainly questioned. The TCF was developed by IAB to promote compliance with the GDPR by organizations using the OpenRTB protocol. 

The OpenRTB protocol is a protocol for 'real-time bidding,' which is the automated online auction of user profiles for the sale and purchase of advertising space on the Internet. When users visit a website that contains an ad space, technology companies, through an automated auction system, can bid in real time for that ad space to display personalized advertising. 

When users visit a website for the first time, an interface appears through which they can consent to the collection and sharing of their personal information or object to various types of processing. 

As part of the TCF, a consent management tool appears during this process. The tool allows the user to object to certain types of data processing. The TCF registers the user's preferences through the tool by generating a TC string and sends it to all partners participating in the OpenRTB system. Based on this TC string, user profiles are compiled, which are then passed on to advertisers. This makes it visible to them what kind of data processing the users have agreed to. 

Within the scope of its investigation against IAB, the DPA identified a number of violations of the GDPR.

It found that the TC strings already constituted personal data and therefore IAB was required to have a legal basis for processing these data. However, IAB was unable to demonstrate any such legal basis.

In addition, IAB did not properly inform users about the functioning of the TCF. For example, the information provided to users was too generic and vague to understand the scope of the data processing. 

Furthermore, IAB had not maintained a register of its processing activities, had not appointed a data protection officer, as well as had not conducted a data protection impact assessment. 

Appendix: The Belgian Market Court annuled the imposed fine of EUR 250,000 but upheld the violations found and sanctions imposed."
SPAIN,2022-02-04,900,Art. 5 (1) c) GDPR
SPAIN,2022-02-04,"300,000","Art. 6 GDPR, Art. 17 GDPR, Art. 28 GDPR"
ITALY,2021-12-17,"10,000","Art. 5 (1) f) GDPR, Art. 6 GDPR, Art. 9 GDPR"
SPAIN,2022-02-01,"3,940,000","Art. 5 (1) f) GDPR, Art. 5 (2) GDPR"
SPAIN,2022-02-01,"70,000",Art. 5 (1) f) GDPR
SPAIN,2022-02-01,"700,000",Art. 5 (1) f) GDPR
SPAIN,2022-02-01,"200,000",Art. 5 (1) f) GDPR
SPAIN,2022-02-01,"900,000",Art. 5 (1) f) GDPR
SPAIN,2022-02-07,"1,000",Art. 5 (1) c) GDPR
SPAIN,2022-02-04,"2,000",Art. 6 (1) a) GDPR
SPAIN,2022-02-07,"10,000",Art. 5 (1) c) GDPR
ITALY,2021-12-16,"100,000","Art. 5 (1) a), c) GDPR"
ITALY,2021-12-16,"20,000",Art. 12 GDPR
ITALY,2022-01-13,"7,500","Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR"
ITALY,2021-12-16,"1,000",Art. 5 (1) c) GDPR
ITALY,2022-01-13,"4,000","Art. 12 (3) GDPR, Art. 15 GDPR"
ITALY,2022-01-13,"14,000","Art. 5 (1) f) GDPR, Art. 32 GDPR, Art. 35 GDPR"
POLAND,2021-12-01,"4,000","Art. 31 GDPR, Art. 58 (1) e) GDPR"
NORWAY,2022-02-01,"5,000",Art. 6 (1) GDPR
SPAIN,2022-02-14,"1,600","Art. 17 GDPR, Art. 21 LSSI, The Spanish DPA (AEPD) has imposed a fine RECLAMADOR, S.L.. A data subject had filed a complaint with the AEPD against the controller due to the fact that the controller continued to send him SMS advertisements, despite the fact that he had requested the deletion of his data and the controller had confirmed the deletion. The fine is composed proportionally of EUR 1000 for a breach of Art. 17 GDPR and EUR 1000 for a breach of Art. 21 LSSI. The original fine in the amount of EUR 2,000 has been reduced to EUR 1,800 due to immediate and voluntary payment."
ITALY,2022-01-13,"1,000",Art. 13 GDPR
SPAIN,2022-02-11,"2,000,000","Art. 6 (1) GDPR, Art. 10 GDPR, Art. 10 LOPDGDD, The Spanish DPA (AEPD) has fined Amazon Road Transport Spain S.L. EUR 2,000,000. The AEPD had received a complaint from a trade union against the company. Amazon Road required certificates confirming the absence of criminal records when hiring drivers. Amazon Road believed that these certifications were not subject to Art. 10 GDPR. However, contrary to Amazon Road's interpretation, the AEPD determined that these data do fall under Art. 10 GDPR. During its investigation, the AEPD concluded that the processing of these data consequently did not comply with the requirements of Art. 10 GDPR. For this reason, the DPA came to the conclusion that Amazon Road had processed the data on the absence of criminal records without a valid legal basis."
SPAIN,2022-02-16,"6,000",Art. 6 (1) a) GDPR
ITALY,2022-01-13,"1,000","Art. 5 GDPR, Art. 6 GDPR, Art. 2-ter Codice della privacy"
ITALY,2022-01-27,"2,000","Art. 5 (1) c) GDPR, Art. 13 GDPR"
GREECE,2022-02-15,"30,000","Art. 12 (1), (2) GDPR, Art. 15 (1) GDPR"
ITALY,2022-01-27,"40,000","Art. 13 GDPR, Art. 15 GDPR, Art. 21 GDPR, Art. 157 Codice della privacy, Art. 166 (2) Codice della privacy"
SPAIN,2022-02-18,"2,500","Art. 5 (1) c) GDPR, Art. 13 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 2,500 on a private individual. The controller had installed video surveillance cameras at his house which, among other things, also covered the public space and neighbor properties. The DPA considered this to be a violation of the principle of data minimization. In addition, the information signs regarding the video surveillance were blurred and thus not well readable. The DPA considered this to be a breach of the duty to inform pursuant to Art. 13 GDPR."
SPAIN,2022-02-21,"1,500",Art. 13 GDPR
SPAIN,2022-02-21,"1,000",Art. 13 GDPR
ROMANIA,2022-02-22,"1,000","Art. 5 (1) a), b), c), f) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR"
ROMANIA,2022-02-22,"3,000","Art. 12 GDPR, Art. 13 GDPR, Art. 21 GDPR"
SPAIN,2022-02-22,"1,000",Art. 58 (2) GDPR
POLAND,2022-01-19,"117,000",Art. 34 (1) GDPR
SPAIN,2022-02-22,"3,000","Art. 5 (1) c) GDPR, Art. 13 GDPR"
SPAIN,2022-02-23,"1,200",Art. 13 GDPR
FINLAND,2021-12-26,"5,000","Art. 5 (1) a) GDPR, Art. 12 (1), (2), (3), (4) GDPR, Art. 13 (1), (2) GDPR, Art. 15 (1), (3) GDPR, Art. 25 GDPR"
THE NETHERLANDS,2022-01-14,"525,000",Art. 12 (2) GDPR
SPAIN,2022-02-23,"1,500","Art. 5 (1) c) GDPR, Art. 13 GDPR"
GERMANY,2020-10-24,200,"Art. 5 GDPR, Art. 32 GDPR"
CROATIA,2022-03-08,"124,245",Art. 15 (3) GDPR
CROATIA,2022-03-08,"89,250","Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR, Art. 32 (4) GDPR"
IRELAND,2022-03-15,"17,000,000","Art. 5 (2) GDPR, Art. 24 (1) GDPR, The Irish DPA (DPC) has imposed a fine of EUR 17 million on Meta Platforms Ireland Limited (former Facebook Ireland Limited). 

The decision is based on twelve notifications of data breaches that occurred between June 7, 2018 and December 4, 2018. 

The outcome of the DPC's investigation revealed that Meta had violated Article 5 (2) GDPR and Article 24 (1) GDPR. In the course of its investigation, the DPC found that Meta failed to demonstrate that it had taken appropriate technical and organizational measures to protect the data of EU users. 

The fine proceedings involved cross-border data processing, which is why the decision was subject to the co-decision procedure under Art. 60 GDPR involving all other European supervisory authorities as co-decision-makers.  Although two European DPAs objected to the DPC's draft decision, a consensus was ultimately reached. Accordingly, the DPC's decision reflects the collective views of the DPC and the other European DPAs."
ITALY,2022-02-10,"10,000","Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR"
ROMANIA,2022-03-10,"2,000",Art. 15 GDPR
ICELAND,2022-03-08,"7,000","Art. 5 (1) c) GDPR, Art. 6 GDPR"
ITALY,2022-02-10,"20,000,000","Art. 5 (1) a), b), e) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 15 GDPR, Art. 27 GDPR, The Italian DPA has fined U.S.-based Clearview AI EUR 20 million after it was revealed that the company had been applying biometric surveillance techniques on Italian territory.

The company owns a database of over 10 billion facial images from around the world. The company offers a search service that allows profiles to be created based on the biometric data extracted from the images. The profiles can be enriched with information associated with these images, such as image tags and geolocation. 

The DPA launched an investigation into the company after it became known that Clearview - contrary to initial claims - also enabled searches of Italian nationals and residents. 

The DPA found that the personal data contained in the company's database had been processed unlawfully and without a valid legal basis. 
In addition, the DPA found that the company had violated several principles of the GDPR. 

For example, the company had violated the principle of transparency by failing to adequately inform users about the processing of their data. Clearview had also violated the principle of purpose limitation, by processing users' data for purposes other than those for which they had been made available online. Finally, it violated the principle of storage limitation by not specifying a time period for data storage."
ITALY,2022-02-10,"3,500","Art. 5 (1) f) GDPR, Art. 9 GDPR"
